Description,Assistance_Area,Tags,Resource_Type
"<strong><a href=""/node/3039032"">Case Study: Hamilton County, OH Energy Performance Contracting Aggregation Project</a></strong><br>Prepared by the Clean Energy Solutions, Inc., this case study highlights how Hamilton County, Ohio, organized several municipalities to achieve economies of scale in completing an energy savings performance contract.<br>CASE STUDIES",Pay for Energy Initiatives,Financing; Financing: Energy Savings Performance Contracting,Case Studies
"<strong><a href=""/node/2219773"">Leveraging Federal Renewable Energy Tax Credits</strong></a><br>This DOE guide outlines the wide array of resources available to state and local governments interested in leveraging federal tax credits to accelerate the deployment of clean, renewable energy.<br>REPORTS & GUIDES",Pay for Energy Initiatives; Design and Implement Energy Programs,Energy Management; Financing; Renewable Power,Reports & Guides
"<strong><a href=""https://www.naseo.org/data/sites/1/documents/publications/CLEAN_Master%20NASEO%20PACE%20Memo%202016-5-18%20FINAL.pdf"">Accelerating the Commercial PACE Market: Statewide Programs and State Energy Office Participation in Property Assessed Clean Energy (PACE) Financing</a></strong><br>Developed by the National Association of State Energy Officials, this report focuses on how state energy offices other state-level partners can create an environment in their state that will increase local C-PACE participation. It offers insights and strategies for state energy offices, green banks, state financing agencies, or other public and private entities to provide coordination and support to PACE programs.<br>REPORTS & GUIDES",Pay for Energy Initiatives,Financing; Financing: Property Assessed Clean Energy,Reports & Guides
"<strong><a href=""/node/1430931"">Energy Investment Partnerships: How State and Local Governments are Engaging Private Capital to Drive Clean Energy Investments</a></strong><br> The Energy Department released a report that highlights EIP activities in eight states: California, Connecticut, Florida, Hawaii, New Jersey, New York, Ohio, and Oregon. The report illustrates how states and entities are driving clean energy deployment through leveraging private capital.<br>REPORTS & GUIDES",Pay for Energy Initiatives,Financing; Financing: Property Assessed Clean Energy; Public-Private Partnerships,Reports & Guides
"<strong><a href=""https://www4.eere.energy.gov/seeaction/publication/energy-efficiency-financing-program-implementation-primer"">Energy Efficiency Financing Program Implementation Primer</a></strong></br>This primer provides key considerations for policymakers, energy efficiency program administrators, and program partners om implementing successful energy efficiency financing programs for existing buildings.</br>REPORTS & GUIDES",Pay for Energy Initiatives,Financing; Financing: On-Bill Financing; Financing: Property Assessed Clean Energy; Public-Private Partnerships,Reports & Guides
"<strong><a href=""http://emp.lbl.gov/publications/current-size-and-remaining-market-potential-us-energy-service-company-industry"">Current Size and Remaining Market Potential of the U.S. Energy Service Company Industry</a></strong></br>The study analyzes the size, growth, and trends in the U.S. energy service company (ESCO) industry, drawing on information provided by industry executives and experts in 2012. The report also provides a preliminary estimate of remaining investment potential and annual blended energy savings in buildings typically addressed by ESCOs for whom performance-based contracting as a core business activity.</br>REPORTS & GUIDES",Pay for Energy Initiatives,Financing: Energy Savings Performance Contracting,Reports & Guides
"<strong><a href=""/node/2788713"">Comparative Evaluation of Financing Programs: Insights from California’s Experience</a></strong><br>Lawrence Berkeley National Laboratory (LBNL) released this technical brief on evaluating the impact of energy efficiency financing programs, which draws on insights from a working group formed by the California Alternative Energy and Advanced Transportation Financing Authority.<br>REPORTS & GUIDES",Pay for Energy Initiatives,"Evaluation, Measurement, and Verification; Financing",Reports & Guides
"<strong><a href=""/node/2788725"">Energy Upgrades at City-Owned Facilities: Understanding Accounting for Energy Efficiency Financing Options</a></strong><br>This technical brief draws on lessons from technical assistance Lawrence Berkeley National Laboratory (LBNL) provided for the City of Dubuque, Iowa, which offers local government policymakers an assessment of two mechanisms that could potentially warrant non-debt treatment.<br>REPORTS & GUIDES",Pay for Energy Initiatives,Financing; Financing: Revolving Loan Funds,Reports & Guides
"<strong><a href=""/node/912766"">Financing Energy Upgrades for K-12 School Districts</a></strong></br>This guide focuses on clean energy financing options for school administrators, facility managers, and other K-12 school decision makers who are considering investments in high performance school projects. It focuses on comprehensive energy upgrades and walks through the financing options available to K-12 schools and provides case studies of six school districts from around the country.</br>REPORTS & GUIDES",Pay for Energy Initiatives; Design and Implement Energy Programs,Financing,Reports & Guides
"<strong><a href=""https://www4.eere.energy.gov/seeaction/publication/financing-energy-improvements-utility-bills-market-updates-and-key-program-design"">Financing Energy Improvements on Utility Bills</a></strong><br>This report provides an overview of the current state of on-bill programs and provides actionable insights on key program design considerations for on-bill lending programs.<br>REPORTS & GUIDES",Pay for Energy Initiatives,Financing: On-Bill Financing,Reports & Guides
"<strong><a href=""/node/1728261"">Energy Savings Performance Contracting: Guidelines for Developing, Staffing, and Overseeing a State Program</a></strong><br>The Energy Savings Performance Contracting Guidelines for Developing, Staffing, and Overseeing a State Program (Program Guidelines) provide information, best practices, and resources on how to develop an Energy Savings Performance Contracting (ESPC) program. The goal is to increase acceptance and use of ESPC by state and local governments to achieve large-scale and comprehensive energy-saving projects.<br>REPORTS & GUIDES",Pay for Energy Initiatives,Financing; Financing: Energy Savings Performance Contracting,Reports & Guides
"<strong><a href=""/node/1742661"">Energy Savings Performance Contracting: A Primer for K-12 Schools</a></strong><br>The document provides K-12 faculty, school boards, and building managers with an introduction to ESPC benefits, guidance for getting started, and resources to support the ESPC implementation process, including numerous specific examples of K-12 schools that have successfully improved their buildings using an energy savings performance contract.<br>REPORTS & GUIDES",Pay for Energy Initiatives,Financing; Financing: Energy Savings Performance Contracting,Reports & Guides
"<strong><a href=""/node/924446"">Model Documents for an Energy Savings Performance Contract Project</a></strong></br>This page contains a model contract template and companion documents to help you launch energy efficiency projects through Energy Savings Performance Contracting.</br>WEBPAGES",Pay for Energy Initiatives,Financing: Energy Savings Performance Contracting,Webpages
"<strong><a href=""http://financing.lbl.gov/reports/qecb-guidance.pdf"">Qualified Energy Conservation Bonds Update: New Guidance from the U.S. Department of Treasury and the Internal Revenue Service</a></strong></br>Provides a summary of the June 2012 U.S. Department of Treasury clarification of what constitutes a qualified project for potential issuers of Qualified Energy Conservation Bond capacity.</br>RESOURCE SUMMARIES",Pay for Energy Initiatives,Financing,Resource Summaries
