Description,Assistance_Area,Tags,Resource_Type
"<strong><a href=""http://www.epa.gov/greenpower/buygp/solarpower.htm"">Solar Power Purchase Agreements</a></strong></br>Provides an overview presentation of power purchase agreements, specifically as they relate to public sector solar photovoltaic projects.</br>WEBPAGES",Pay for Energy Initiatives,Financing; Renewable Power,Webpages
"<strong><a href=""/node/962311"">Case Studies - Financing Energy Improvements on Utility Bills</a></strong></br>This webinar, held on June 11, 2014, was the second in a two-part webinar series focused on the SEE Action report, Financing Energy Improvement on Utility Bills: Market Updates and Key Program Design Considerations for Policymakers and Administrators.</br>WEBINARS",Pay for Energy Initiatives,Financing; Financing: On-Bill Financing,Webinars
"<strong><a href=""/node/912451"">Overcoming Persistent Barriers to Energy Efficiency in Multifamily Housing through Partnerships</a></strong></br>This presentation, held on Jan. 30, 2014, provides information on how to leverage state policies and programs to advance multifamily energy efficiency efforts. </br>WEBINARS",Pay for Energy Initiatives,Financing,Webinars
"<strong><a href=""/node/912761"">Raising Investment Funds for Clean Energy Programs and Working with Financial Institutions</a></strong></br>This webinar, held on Dec. 5, 2013, provides an overview of the Energy Department's financial resources for local and state governments and covers the resource, ""Clean Energy Finance: Raising Investment Funds and Working with Financial Institutions.""</br>WEBINARS",Pay for Energy Initiatives,Financing,Webinars
"<strong><a href=""/node/912751"">Tools for Designing and Implementing Better Finance Program</a></strong></br>This Nov. 21, 2013, webinar highlights clean energy finance programs.</br>WEBINARS",Pay for Energy Initiatives,Financing,Webinars
"<strong><a href=""/node/912741"">Federal Finance Facilities Available for Energy Efficiency Upgrades and Clean Energy Deployment</a></strong></br>This webinar, held on Sept. 24, 2013, provides information on federal finance facilities available for energy efficiency upgrades and clean energy deployment.</br>WEBINARS",Pay for Energy Initiatives,Financing,Webinars
"<strong><a href=""/node/912006"">Commercial PACE: Updates from the Field & New Resources for Design and Implementation</a></strong></br>This webinar, held on March 19, 2013, deals with commercial property assessed clean energy and financing commercial energy efficiency upgrades to commercial buildings.</br>WEBINARS",Pay for Energy Initiatives,Financing; Financing: Property Assessed Clean Energy,Webinars
"<strong><a href=""/node/913176"">Qualified Energy Conservation Bonds - State Issues and Approaches</a></strong></br>This webinar, held on Feb. 12, 2013, gives an overview on qualified energy conservation bonds.</br>WEBINARS",Pay for Energy Initiatives,Financing,Webinars
"<strong><a href=""/node/913016"">Making it Easier to Complete Clean Energy Projects with Qualified Energy Conservation Bonds (QECBs)</a></strong></br>This webinar, held on July 19, 2012, provides information on how to complete clean energy projects with qualified energy conservation bonds.</br>WEBINARS",Pay for Energy Initiatives,Financing,Webinars
"<strong><a href=""/node/912731"">Exploring Power Purchase Agreements - The Basics Part 1</a></strong></br>This webinar, held on July 27, 2011, provides information on the basics of Power Purchase Agreements, including risks and unique issues and benefits. Case studies include Salt Lake County, Utah, and Talbot County, Maryland.</br>WEBINARS",Pay for Energy Initiatives,Financing; Renewable Power,Webinars
"<strong><a href=""/node/911356"">Best Practices for Establishing Municipal Funds for Energy Efficiency Projects</a></strong></br>This webinar gives an overview of best practices when establishing a municipal fund for energy efficiency projects and discusses efficiency upgrades on public buildings, renewable installations on public buildings, procurement policies and internal revolving loan funds.</br>WEBINARS",Pay for Energy Initiatives,Financing; Financing: Revolving Loan Funds,Webinars
"<strong><a href=""/node/924791"">Engaging Financial Institution Partners</a></strong></br>This webinar, held on April 25, 2011, gives an overview of energy efficiency residential financing, how to engage potential partners, the importance of sustainable partnerships, and best practices and lessons learned from the field in Wisconsin.</br>WEBINARS",Pay for Energy Initiatives,Financing,Webinars
"<strong><a href=""/node/914911"">Qualified Energy Conservation Bonds: Updates from the Field</a></strong></br>This webinar, held on March 28, 2011, focuses on qualified energy conservation bond updates, including issuance trends and performance contracting.</br>WEBINARS",Pay for Energy Initiatives,Financing,Webinars
"<strong><a href=""/node/914931"">Community Development Finance Institutions- Opportunities for Partnerships with Energy Efficiency Programs</a></strong></br>This webinar, held on March 27, 2011, discusses energy efficiency community development financial institutions (CDFI) and highlights opportunities for state and local governments to work with CDFIs.</br>WEBINARS",Pay for Energy Initiatives,Financing; Public-Private Partnerships,Webinars
"<strong><a href=""/node/914936"">Financial Program Management for Continuous Improvement</a></strong></br>This webinar, held on March 16, 2011, focuses on ways to improve financial programs and discusses strategies for continuous improvements.</br>WEBINARS",Pay for Energy Initiatives,Financing,Webinars
"<strong><a href=""/node/914946"">State and Local Energy Savings Performance Contracting: Savings Measurement and Verification</a></strong></br>This webinar, held on Feb. 24, 2011, covers background and benefits of measurement and verification and highlights activities for state and local energy savings performance contracting.</br>WEBINARS",Pay for Energy Initiatives,Financing: Energy Savings Performance Contracting; Financing,Webinars
"<strong><a href=""/node/914956"">Financing Programs: RFP & Contract Terms and Conditions</a></strong></br>This webinar, held on Feb. 15, 2011, features sample terms and conditions for state and local financing programs that implement requests for proposals and contracts.</br>WEBINARS",Pay for Energy Initiatives,Financing,Webinars
"<strong><a href=""/node/924766"">Managing Financing Programs - Spreadsheet Models</a></strong></br>This webinar, held on Jan. 24, 2011, provides a tutorial for managing financing programs through excel spreadsheets.</br>WEBINARS",Pay for Energy Initiatives,Financing,Webinars
"<strong><a href=""/node/913671"">Taking Advantage of Qualified Energy Conservation Bonds (QECBs)</a></strong></br>This webinar, held on Sept. 22, 2010, provides information on qualified energy conservation bonds.</br>WEBINARS",Pay for Energy Initiatives,Financing,Webinars
"<strong><a href=""/node/912971"">Loan Loss Reserves: Lessons from the Field</a></strong></br>This webinar, held on Sept. 20, 2010, provides lessons learned about loan loss reserves funds.</br>WEBINARS",Pay for Energy Initiatives,Financing,Webinars
"<strong><a href=""/node/924806"">Financing Energy Efficiency: Loan Loss Reserves as Credit Enhancements</a></strong></br>This webinar, held on May 26, 2010, provides information on how to use loan loss reserve funds as credit enhancements for energy efficiency program financing, including examples from Michigan and Colorado.</br>WEBINARS",Pay for Energy Initiatives,Financing,Webinars
"<strong><a href=""/node/914381"">Tribal Energy Project Development Through ESCOs</a></strong></br>This webinar, held on April 21, 2010, covers how to develop projects on tribal land through energy savings companies and the challenges in tribal country.</br>WEBINARS",Pay for Energy Initiatives,Financing,Webinars
"<strong><a href=""/node/913256"">Creating Liquidity for Energy Efficiency Loans in Secondary Markets</a></strong></br>This webinar, held on Jan. 22, 2010, provides information on secondary markets in energy efficiency loans.</br>WEBINARS",Pay for Energy Initiatives,Financing,Webinars
"<strong><a href=""/node/913006"">Structuring Credit Enhancements for Clean Energy Finance Programs: Loan Loss Reserves</a></strong></br>This webinar, held on Jan. 15, 2010, provides information on how to structure loan loss reserve funds for use in clean energy finance programs.</br>WEBINARS",Pay for Energy Initiatives,Financing,Webinars
"<strong><a href=""/node/912406"">Revolving Loan Funds: An Introduction</a></strong></br>This webinar, held on Dec. 10, 2009, provides an overview of revolving loan funds.</br>WEBINARS",Pay for Energy Initiatives,Financing; Financing: Revolving Loan Funds,Webinars
"<strong><a href=""/node/910931"">Strategies and Considerations for Approaching Lenders</a></strong></br>This webinar, held on Dec. 3, 2009, provides success stories and examples from entities that work with lenders to implement energy efficiency and renewable energy technologies.</br>WEBINARS",Pay for Energy Initiatives,Financing,Webinars
"<strong><a href=""/node/914036"">Revolving Loan Funds: Basics and Best Practices</a></strong></br>This webinar, held on Aug. 26, 2009, provides basic information and best practices for revolving loan funds.</br>WEBINARS",Pay for Energy Initiatives,Financing,Webinars
"<strong><a href=""/node/914011"">Third Party Financing and Power Purchasing Agreements for Public Sector PV Projects</a></strong></br>This webinar, held on May 27, 2009, covers third-party financing and power purchase agreement for public sector photovoltaic projects, including economic and legal information. </br>WEBINARS",Pay for Energy Initiatives,Financing,Webinars
"<strong><a href=""/node/919961"">Revolving Loan Funds: Basics and Best Practices Webinar</a></strong></br>Provides a webinar presentation, and supporting background materials, on basic information and characteristics for revolving loan funds, including best practices.</br>WEBINARS",Pay for Energy Initiatives,Financing,Webinars
"<strong><a href=""/node/909046"">Financing Overview</a></strong></br>State and local governments commonly find that lack of up front capital is a barrier to clean energy initiatives. Governments can tackle this challengeâ€“whether they are looking to pay for improvements in their own buildings or drive action in the residential, commercial, and/or industrial sectors of their communities by using financing. Financing approaches may be offered as a comprehensive financing program that will support many projects, or may be project based (i.e. arranged on a project-by-project basis).</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909051"">Characteristics of Strong Programs</a></strong></br>Existing financing programs offer a number of important lessons on effective program design. Some characteristics of strong financing programs drawn from past program experience are described below.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909056"">Financing Program Pitfalls to Avoid</a></strong></br>Clean energy financing programs are not a new concept; however, many programs launched over the years have not had the impact intended. Financing program pitfalls to avoid are listed below.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909061"">Major Components of Lending</a></strong></br>The major components of a clean energy financing program are described here, centered around the characteristics and sources of capital.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909066"">Financial Institutions</a></strong></br>A lending program begins with a financial institution that procures the funds it lends from a number of other sources.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909071"">Repayment</a></strong></br>A lending process also requires a repayment structure (a way to repay the loan). Examples of repayment structures include on-bill repayment structure, property tax-based structures, and lender billing.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909076"">Capital Sources and Providers</a></strong></br>The most important elements of a clean energy lending program are the capital source and the capital provider. The capital source provides the funding to pay for clean energy projects, and the capital provider manages those funding sources. For example, a bank might use its customers' deposits as a capital source, but as the capital provider, the bank manages the investment of that capital.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909081"">Credit Enhancements</a></strong></br>A credit enhancement is anything that improves the chances that financing will be repaid.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909086"">Security</a></strong></br>Security refers to the security of the stream of principal and interest repayments and what happens in the event that a secured loan defaults.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909091"">Lending Program Administration Options</a></strong></br>Lending program options and brief profiles of different approaches to clean energy lending are presented here. Each profile describes a different way to structure the various elements of a lending program.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909096"">Risk Assessment</a></strong></br>A set of issues that state and local governments should carefully consider, with the goal of helping them assess and anticipate solutions for some worst case or unfortunate case scenarios as they develop lending programs, are listed here to help state and local governments assess the potential risks of lending products.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909101"">Glossary of Terms</a></strong></br>The glossary features an alphabetical listing of financing terms.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/910801"">Bonding Tools</a></strong></br>Bonds are one of the most common forms of financing used by state and local governments, because they are a low-cost source of capital available to most entities. State and local officials may consider using bonds for a variety of clean energy purposes.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/921171"">Qualified Energy Conservation Bonds</a></strong></br>A Qualified Energy Conservation Bond (QECB) is a bond that enables qualified state, tribal, and local government issuers to borrow money at attractive rates to fund energy conservation projects (it is important to note that QECBs are not grants). A QECB is among the lowest-cost public financing tools because the U.S. Department of the Treasury subsidizes the issuer's borrowing costs.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909116"">New Clean Renewable Energy Bonds</a></strong></br>New clean renewable energy bonds (CREBs) are tax credit bonds, the proceeds of which are used for capital expenditures incurred by governmental bodies (including states and municipalities), public power providers, or cooperative electric companies for a ""qualified renewable energy facility.""</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909111"">Public Bonding Options</a></strong></br>Traditionally, state and local governments (as well as certain other nonprofit organizations such as universities and hospitals) have had the ability to issue debt, in the form of bonds, to finance construction and/or improvements to public infrastructure. Bonds issued by state and local governments often referred to as municipal or public bonds can also be used, under certain circumstances for private activities.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909121"">Tax-Exempt Bond Financing for Nonprofit Organizations and Industries</a></strong></br>State-chartered bond authorities exist in every state. They include healthcare facility authorities, housing finance agencies, higher education facility authorities, and industrial development finance authorities. For those authorities, eligible projects include energy efficiency retrofits for existing facilities owned by eligible borrowers.</br>WEBPAGES",Pay for Energy Initiatives,Financing; Public-Private Partnerships,Webpages
"<strong><a href=""/node/909126"">Energy Efficient Mortgages</a></strong></br>Energy efficient mortgages (EEMs) encourage energy efficiency by giving buyers a better rate or more borrowing capacity to buy an energy efficient house or to cover the cost of new energy improvements. For an EEM program, state and local governments typically engage via credit enhancement, such as an interest rate buy-down or loan loss reserve.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909136"">Financial Institution Lending Programs</a></strong></br>Financial institution loans for clean energy projects are originated and serviced through an entity other than the government, typically banks. In this case, a state or local government is not the finance program administrator, but may still play a role through credit enhancement or providing capital for the loan pool or both.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909141"">Leasing Arrangements</a></strong></br>Leasing energy-related improvements, especially the use of tax exempt lease-purchase agreements for energy efficient-equipment, is a common and cost-effective way for state and local governments (as well as commercial property owners) to finance upgrades and then use the energy savings to pay for the financing cost. Leases often have slightly higher rates than bond financing. However, leases are a faster and more flexible tool than many other options, including bond financing, and are an important tool for public entities to finance improvements in their own buildings.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909156"">Loan Loss Reserve Funds and Other Credit Enhancements</a></strong></br>Loan loss reserves, interest rate buy-downs, and other types of credit enhancements can support clean energy finance mechanisms including on-bill financing, bond issues, property-assessed clean energy financing, revolving loans funds, and more.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909161"">Rational and Goals for Loan Loss Reserve Funds</a></strong></br>State and local governments can use a loan loss reserve fund to entice a potential financial institution partner to offer products for financing energy efficiency and renewable energy projects.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909166"">Primary Characteristics of Loan Loss Reserve Funds</a></strong></br>Loan loss reserve funds have four primary characteristics, detailed here: portfolio approach to credit, leverage, financial institution partner, and secondary market support.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909171"">Loan Loss Reserve Fund Risk-Sharing Formula</a></strong></br>When using a loan loss reserve fund, the state or local government and financial institution must negotiate and agree to a risk-sharing formula with agreed-upon parameters.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909176"">Loan Terms</a></strong></br>The following terms are important to understand and use confidently as you discuss, negotiate, and finalize details of the clean energy loan product with the selected financial institution partners. You will need to negotiate loan origination procedures, interest rates, loan tenors, underwriting guidelines, and other terms outlined here.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909181"">Underwriting Guidelines for Residential Loan Programs</a></strong></br>Underwriting guidelines are a central aspect of any residential energy efficiency and renewable energy loan program, establishing the criteria the lender will use to determine creditworthiness and the eligibility of prospective borrowers to receive a loan. The loan program example discussed here is ""unsecured,"" meaning that the lender does not take out a lien on the property as security, and no appraisal of the property will be required, although other forms of security may be necessary. State and local governments and their financial advisor(s) should negotiate the underwriting guidelines with the financial institution partner(s), which is a critical aspect of setting up a clean energy loan program.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909186"">Loan Loss Reserve Fund Impacts on Standard Residential Underwriting Guidelines</a></strong></br>State and local governments can use loan loss reserve (LLR) funds to persuade lenders to offer more flexible terms during the underwriting process. The availability of an LLR can have the following benefits in the residential market.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909191"">Loan Loss Reserve Fund Program Development</a></strong></br>Typically, grantees will work with interested parties or partners to develop a clean energy loan and a loan loss reserve fund program that involves the following steps.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909196"">Structure and Design a Finance Program with Loan Loss Reserve Funds</a></strong></br>The process for structuring and designing a finance program with a loan loss reserve fund typically includes research and preparing a finance program design document.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909201"">Financial Institution Request for Proposals and Selection Process</a></strong></br>A state or local government typically conducts a competitive procurement procedure to award loan loss reserve funds to a financial institution partner.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909206"">Implementing Loan Loss Reserve Fund Agreements</a></strong></br>Implementation of a loan loss reserve (LLR) fund program typically involves two agreements: The LLR agreement and a less formal energy efficiency loan program agreement.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909211"">Key Terms Used in Loan Loss Reserve Fund Agreements</a></strong></br>A list of key terms used in loan loss reserve fund agreements.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909216"">On-Bill Financing and Repayment Programs</a></strong></br>On-bill financing and on-bill repayment programs provide two options for property owners to pay for investments in clean energy upgrades through their utility. While electric utilities and natural gas companies typically run on-bill programs, there is an opportunity for state and local governments to capitalize on new on-bill loan funds and/or provide credit enhancement for existing on-bill funds. Depending on the programs available in a given jurisdiction, some government entities may also be able to take advantage of on-bill programs to finance projects for their own facilities.</br>WEBPAGES",Pay for Energy Initiatives,Financing; Financing: On-Bill Financing,Webpages
"<strong><a href=""/node/909241"">Property-Assessed Clean Energy Programs</a></strong></br>The property-assessed clean energy (PACE) model is an innovative mechanism for financing energy efficiency and renewable energy improvements on private property. PACE programs allow local governments, state governments, or other inter-jurisdictional authorities, when authorized by state law, to fund the up-front cost of energy improvements on commercial and residential properties, which are paid back over time by the property owners.</br>WEBPAGES",Pay for Energy Initiatives,Financing; Financing: Property Assessed Clean Energy,Webpages
"<strong><a href=""/node/909246"">Revolving Loan Funds</a></strong></br>Revolving loan funds (RLFs) are pools of capital from which loans can be made for clean energy projects as loans are repaid, the capital is then reloaned for another project. Assuming that defaults remain low, RLFs can be ""evergreen"" sources of capital that are recycled over and over again to fund projects well into the future. State and local governments can establish RLFs to support both their own energy upgrades (i.e., internal), and those in private sector (i.e., external).</br>WEBPAGES",Pay for Energy Initiatives,Financing; Financing: Revolving Loan Funds,Webpages
"<strong><a href=""/node/909251"">Financing Program Design and Implementation Considerations</a></strong></br>Designing and implementing clean energy financing programs takes more than simply identifying applicable financing structures and implementing them. State and local governments should also take into account partners and stakeholders, staffing needs, and enabling legislation that can affect each program's design and implementation.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909256"">Partners and Stakeholders</a></strong></br>Concentrating on the single-family residential sector, this section looks at the organizations and groups that influence financing programs in three general categories.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909261"">Financing Partners</a></strong></br>The different financing partners involved in clean energy loan programs.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909266"">Assessing the Partnership and Stakeholder Landscape</a></strong></br>The success of a clean energy loan program depends on many organizations and stakeholders that do not necessarily handle funds directly. Even financial institutions not directly involved in the financing process may have important information that can influence the design of the program. The table below lists some of the different actors, their potential role in or impact on an energy loan program, and, if appropriate, the types of information that state and local governments can gather from them to help design the program and craft beneficial partnerships.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909271"">Financing Program Implementation Process Flow</a></strong></br>The implementation process flow for financing is represented below with two models: a generic option for primary markets and a conceptual option for secondary markets.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909276"">Staffing for Clean Energy Financing Programs</a></strong></br>Any clean energy financing program will need a number of internal champions in each of the organizations involved in designing and putting it in place.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909281"">Enabling Legislation for Clean Energy Finance Approaches</a></strong></br>In some instances legislative and executive efforts are required to implement energy efficiency and renewable energy finance approaches.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909286"">The Path to Program Sustainability</a></strong></br>The strategies outlined here help create self-sustaining clean energy finance programs.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909291"">Contract and Agreement Templates</a></strong></br>Here you will find templates for a request for proposals, loan loss reserve fund agreement, and energy efficiency loan program agreement, as well as sample documents and a sample guide for designing a residential financing program.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909296"">Financing Program Market Segments</a></strong></br>Financing programs are not one-size-fits-all different financial products will work better for different market segments.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/909316"">Commercial Sector Financing Needs and Opportunities</a></strong></br>Large commercial buildings use a great deal of energy and often offer attractive payback periods for energy efficiency investments. The clearest incentives in the large commercial building sector are usually for investment in buildings where the owner pays the energy bills or the tenant has a lease term that is longer than the payback period on the project. If the owner of the facility is different from the party paying the energy bills (e.g., a tenant), the incentives to do efficiency projects are split between the tenant who pays the energy bills (thus benefitting from the efficiency improvements) and the owner (who pays for the efficiency but receives no direct financial benefit).</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""/node/3686482"">Pro-Benchmarking is Pro-Business and Here’s Why</a></strong><br>This informational overview from the Southwest Energy Efficiency Project (SWEEP) briefly outlines the benefits of building energy benchmarking that can be realized by businesses, including in cost savings, competitiveness, and productivity, among other areas.<br>RESOURCE SUMMARIES",Access and Use Energy Data,Benchmarking,Reports & Guides
"<strong><a href=""/node/2843300"">WIP Project Map</a></strong><br>WIP Project Map provides state and local governments and DOE’s Better Buildings partners with a useful and convenient tool for finding information about state-led, WIP-funded projects and programs across the country.<br>WEBPAGES",Access and Use Energy Data; Design and Implement Energy Programs; Develop an Energy Plan; Pay for Energy Initiatives,"Benchmarking; Data Access and Management; Distributed Generation; Energy Audits/Retrofits; Energy Management; Evaluation, Measurement, and Verification; Financing: Energy Savings Performance Contracting; Financing: Property Assessed Clean Energy; Lighting; Public-Private Partnerships; Renewable Power; Strategic Energy Planning; Sustainable Transportation; Utilities; Wastewater",Webpages
"<strong><a href=""https://neep.org/capee/"">Community Action Planning for Energy Efficiency (CAPEE)</a></strong><br>Developed by the Northeast Energy Efficiency Partnership (NEEP), Community Action Planning for Energy Efficiency (CAPEE) is an online tool that equips communities with resources and knowledge to set goals and prioritize actions that lead to improved energy efficiency, and provides a dashboard that offers customized information on planning opportunities and considerations as well as a set of fact sheets that provide a deeper dive into specific topical areas such as benchmarking, lighting, and workforce.<br>TOOLS",Develop an Energy Plan,Benchmarking; Lighting; Strategic Energy Planning,Tools
"<strong><a href=""http://seealliance.org/wp-content/uploads/MEASURES-Project-FINAL-REPORT.pdf"">MEASURES Project</a></strong><br>This document contains an overall summary of the MEASURES project for ESPC and EM&V, the goal of which was to develop a consistent approach to evaluating energy savings achieved through ESPC and associated emissions reductions.<br>REPORTS & GUIDES",Develop an Energy Plan; Design and Implement Energy Programs; Pay for Energy Initiatives,"Evaluation, Measurement, and Verification; Financing: Energy Savings Performance Contracting",Reports & Guides
"<strong><a href=""http://seealliance.org/wp-content/uploads/MEASURES-Suggested-Enhancements-of-ePB-Memo-Final-9-22-16.pdf""> Suggested Enhancements of eProjectBuilder </a></strong><br>This paper describes each state’s feedback to Lawrence Berkeley National Laboratory on upgrades that could be made to the e-Project Builder tool to enable it to serve as a national standardized repository of verified energy savings from ESPCs.<br>REPORTS & GUIDES",Develop an Energy Plan; Design and Implement Energy Programs; Pay for Energy Initiatives,"Evaluation, Measurement, and Verification; Financing",Reports & Guides
"<strong><a href=""https://energy.mo.gov/about/trm"">Missouri Technical Reference Manual</a></strong><br>Missouri’s technical reference manual contains the formulas for calculating energy savings that result from implementation of energy efficiency programs. The manual is intended to result in more effective energy efficiency programs being offered through utilities within the state.<br>REPORTS & GUIDES",Develop an Energy Plan; Pay for Energy Initiatives,"Evaluation, Measurement, and Verification",Reports & Guides
"<strong><a href=""/node/2816082"">Developing an Energy Savings Performance Contracting Framework for Public Facilities in Nevada - Nevada Implementation Model</a></strong><br>This document describes how Nevada created the Public Facilities Retrofit Program, which promotes ESPC as a vehicle for energy efficiency and created an infrastructure to accelerate the adoption of ESPC by state agencies and local governments.<br>CASE STUDIES",Develop an Energy Plan; Pay for Energy Initiatives,Financing: Energy Savings Performance Contracting,Case Studies
"<strong><a href=""http://northwestchptap.org/ResourcesSoftwareLinks/Software.aspx"">RELCOST Financial Model</a></strong><br>Oregon adopted the RELCOST financial model, a spreadsheet tool, to help industry evaluate the financial viability of CHP projects alongside existing state and utility incentives.<br>CASE STUDIES",Develop an Energy Plan; Pay for Energy Initiatives,Financing,Case Studies
"<strong><a href=""https://www.ahfc.us/efficiency/non-residential-buildings/technical-assistance"">Energy Efficiency Technical Assistance Center</a></strong><br>The center provides online, in-person, and over-the-phone assistance to local governments, school districts, and tribal governments in Alaska for the development of energy efficiency retrofit projects.<br>TOOLS",Pay for Energy Initiatives,Financing; Strategic Energy Planning,Tools
"<strong><a href=""https://www.energysmartms.org/"">EnergySmart MS</a></strong><br>The tool can be used to discover energy efficiency rebates, incentives, or services available for homes or businesses in the state.<br>TOOLS",Access and Use Energy Data; Pay for Energy Initiatives,Financing,Tools
"<strong><a href=""https://ema.semhub.com/"">Energy Management Assessment (EMA) Tool</a></strong><br>Created by the Northwest Energy Efficiency Alliance (NEEA), the Energy Management Assessment (EMA) Tool offers a strategic and confidential analysis of your organization’s current energy management business practices and specific areas of opportunity. The EMA Assessment can then help you develop or improve your strategic energy management practices for your organization.<br>TOOLS",Design and Implement Energy Programs,Energy Management,Tools
"<strong><a href=""http://www.mwalliance.org/sites/default/files/EERS_Factsheet_New_Format_FINAL_PDF.pdf"">Energy Efficiency Resource Standards</a></strong><br>This Midwest Energy Efficiency Alliance (MEEA) informational overview outlines the extent to which Energy Efficiency Resource Standards have been pursued in the Midwest, associated annual energy savings rates, and basic design features.<br>RESOURCE SUMMARIES",Design and Implement Energy Programs,Energy Efficiency Resource Standard and Renewable Portfolio Standard,Resource Summaries
"<strong><a href=""/node/2815770"">Industrial Energy Efficiency and Combined Heat and Power: State of Texas Implementation Model</a></strong><br>This document describes the development of a Distributed Generation Interconnection Tool, an interactive step-by-step guide to interconnection designed to ensure CHP project developers experience a successful and timely interconnection development process.<br>CASE STUDIES",Design and Implement Energy Programs,Strategic Energy Planning,Case Studies
"<strong><a href=""http://www.harcresearch.org/sites/default/files/apps/interconnection/index.html#/home"">Distributed Generation Interconnection Tool</a></strong><br>Texas developed a tool with an interactive step-by-step guide to interconnection design to help CHP project developers experience a successful and timely interconnection process for 10 MW or larger projects.<br>TOOLS",Design and Implement Energy Programs,Strategic Energy Planning,Tools
"<strong><a href=""https://www.northeastwindcenter.org/resources/us-jones-act-compliant-offshore-wind-turbine-installation-vessel-study/"">U.S. Jones Act Compliant Offshore Wind Turbine Installation Vessel Study</a></strong><br>The report examines the functional requirements and costs of constructing purpose-built vessels that would comply with the U.S Jones Act and meet the needs of the U.S. offshore wind industry. <br>REPORTS & GUIDES",Design and Implement Energy Programs,Renewable Power,Reports & Guides
