"Summary of Standalone Base Compensation Rates by Service Territory, Generation Unit Capacity, and Capacity Block",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Electric Distribution Company,Generation Unit Capacity,Base Compensation Rate Factor,Term Length,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7,Block 8,Block 9,Block 10,Block 11,Block 12,Block 13,Block 14,Block 15,Block 16
,"Greater than 500 kW AC to 1,000 kW AC",110%,20-year,$0.15717,$0.15088,$0.14485,$0.13905,$0.13349,$0.12815,$0.12302,$0.11810,$0.11338,$0.10884,$0.10449,$0.10031,$0.09630,$0.09245,$0.08875,$0.08520
,"Greater than 1,000 kW AC to 5,000 kW AC",100%,20-year,$0.14288,$0.13716,$0.13168,$0.12641,$0.12135,$0.11650,$0.11184,$0.10737,$0.10307,$0.09895,$0.09499,$0.09119,$0.08754,$0.08404,$0.08068,$0.07745
Notes:,,,,,,,,,,,,,,,,,,,
"1 Pursuant to 225 CMR 20.07(3)(b), DOER has elected to administratively set the Block 1 Base Compensation Rate for Fitchburg Gas & Electric d/b/a Unitil at $0.15563/kWh. As of January 11, 2018, Fitchburg Gas & Electric had the highest percentage of installed solar capacity of investor owned service territory in the state relative to the number of its number of customers and total load served. Because of this, Fitchburg Gas & Electric’s procurement result suggests that its small service territory and small number of eligible projects in the 1-5 MW range were the primary reasons it did not receive proposals under the initial competitive procurement. Given that Fitchburg Gas & Electric’s service territory is geographically surrounded by Massachusetts Electric's service territory, DOER determined it was reasonable to assume that it would have seen a similar result to Massachusetts Electric’s procurement if more projects were able to respond to the RFP. Accordingly, DOER used the result of Massachusetts Electric's procurement results to establish Fitchburg Gas & Electric’s Base Compensation Rates.",,,,,,,,,,,,,,,,,,,
"2 Fitchburg Gas & Electric d/b/a Unitil has elected to have four Capacity Blocks with an 8.8% decline in Base Compensation Rates per Capacity Block for blocks 1-4, and a 7.7% decline in Base Compensation Rates per Capacity Block for blocks 5-8, as permitted under 225 CMR 20.05(3) and 225 CMR 20.07(2), respectively.",,,,,,,,,,,,,,,,,,,
"3 Pursuant to 225 CMR 20.07(3)(b), DOER has established Massachusetts Electric's Block 1 Base Compensation Rate as the mean price of the selected bids received under the procurement conducted pursuant to 225 CMR 20.07(3)(a).",,,,,,,,,,,,,,,,,,,
"4 Pursuant to 225 CMR 20.07(3)(b), DOER has elected to administratively set the Block 1 Base Compensation Rate for Nantucket Electric d/b/a National Grid at $0.17000/kWh. Nantucket Electric's unique geographic location and low levels of solar development to date as compared to other service territories indicates that higher costs are likely a barrier. Accordingly, DOER has determined that it is more than likely that the primary reason that Nantucket Electric did not receive any proposals under the initial procurement is due to these higher than average costs. As such, DOER has established the Base Compensation Rate at the Ceiling Price of the initial competitive procurement.",,,,,,,,,,,,,,,,,,,
"5 Nantucket Electric d/b/a National Grid has elected to have four Capacity Blocks with a 16% decline in Base Compensation Rates per Capacity Block, as permitted under 225 CMR 20.05(3) and 225 CMR 20.07(2), respectively.",,,,,,,,,,,,,,,,,,,
"6 Pursuant to 225 CMR 20.07(3)(b), DOER elected to administratively set Eversource East's Block 1 Base Compensation Rate at $0.17000/kWh. This reflects the price of the single selected bid for a 2 MW project received under the procurement conducted pursuant to 225 CMR 20.07(3)(a). While the Eversource East solicitation was for 46 MW and received 2 MW, the competitive nature of the procurement in other service territories supports a conclusion that the primary reason Eversource East did not receive more than one proposal under the procurement is due to higher costs in its service territory. Accordingly, while DOER considered terminating the solicitation and re-issuing, DOER determined that doing so would likely not yield a significantly different result.",,,,,,,,,,,,,,,,,,,
"7 Pursuant to 225 CMR 20.07(3)(b), DOER has established Eversource West's Block 1 Base Compensation Rate as the mean price of the selected bids received under the procurement conducted pursuant to 225 CMR 20.07(3)(a).",,,,,,,,,,,,,,,,,,,
"8 Pursuant to 225 CMR 20.05(3)(e), DOER has combined the capacity for Eversource East and Eversource West, however the Base Compensation Rates established for the service territories formerly designated as NSTAR Electric Company and Western Massachusetts Electric Company remains seperate.",,,,,,,,,,,,,,,,,,,
